"Country","Code","Year","Continent","High.systolic.blood.pressure","Alcohol.use","Low.birth.weight","Unsafe.sex","Low.physical.activity","High.fasting.plasma.glucose","High.body.mass.index","Drug.use","Low.bone.mineral.density","Vitamin.A.deficiency","Iron.deficiency","Breastfeeding","Child.growth","Tobacco","Dietary","Unsafe.water","Air.pollution","Death_Rate_Cat","rgroup"
"Afghanistan","AFG","1997","Asia",0.744312931893193,-0.363569518715017,1.30608550257499,0.00106819136499617,0.935330201704099,0.717225527805432,0.599884333066523,0.295073060066933,0.426602455589377,1.99045344177025,1.633156682161,1.4605824157742,1.48202068034765,0.523185857502615,0.882982533786924,1.23818332167478,1.1245760952677,"1",0.999190293718129
"Afghanistan","AFG","2000","Asia",0.75888833837968,-0.356839975133545,1.2817635485,0.0296176563616545,0.950283507235401,0.763639684313054,0.57648267709059,0.330626364013906,0.432797003879109,2.05232976499004,1.62552820638107,1.4462270553902,1.47497944564799,0.527089883406286,0.901953395288318,1.24729015710337,1.11752513794385,"1",0.996648797532544
"Afghanistan","AFG","2008","Asia",0.762101553867744,-0.310898319242731,1.26638374432514,0.0937083798160859,0.986509117784701,0.839838065465113,0.722859103851089,0.467259062217535,0.478537813494857,1.73589692339372,1.67293465233833,1.31513250510522,1.33885311033423,0.536830875543618,0.894866970040614,1.1539010863937,1.06565485675901,"1",0.932110184337944
"Albania","ALB","1997","Europe",-0.0863925749358942,-0.347414856376064,-0.0557021974860628,-0.849699228543992,-0.492978028059319,-0.538890194906025,-0.235832844756257,-0.206485596861835,-0.549684933188309,-0.443803753039333,-0.693667829095368,0.152780792757527,0.138365238475002,-0.0254393400378768,0.050193469706362,-0.550205287114679,-0.0227265856244087,"1",0.906305470271036
"Albania","ALB","2005","Europe",0.0309331652427598,-0.191373920936344,-0.321031040634089,-0.760892072777995,-0.296759546030799,-0.378012344643046,-0.0808290776022126,-0.174148766435754,-0.504909161469559,-0.826869791933753,-0.858596977863694,-0.419866280937669,-0.42957297675095,0.00617053564048922,0.120443522449961,-0.907790527140918,-0.0570848578336537,"1",0.929003696655855
"Albania","ALB","2008","Europe",0.0250622629497576,-0.193924488628821,-0.414565659380144,-0.767051601066605,-0.271034482094065,-0.380646873908716,-0.0758713214522252,-0.192326152779254,-0.456544469331139,-0.826869791933753,-0.858596977863694,-0.575692438101433,-0.565581891893615,-0.0108907651665554,0.102287637332597,-1.00498301312461,-0.104062631519069,"0",0.946918373228982
"Albania","ALB","2015","Europe",0.114920238599857,-0.140632817446642,-0.622539979487666,-0.748856601240947,-0.134905415753523,-0.258781482617237,0.0438362717046808,-0.0896565779066673,-0.419920061724825,-0.826869791933753,-1.14054521995613,-0.74505281955206,-0.612831777286465,0.0978522394351351,0.185200438623171,-1.02468025230921,-0.0959498057234908,"0",0.956347193801776
"Algeria","DZA","1999","Africa",0.886730695774789,-0.219665421715359,0.994853509221728,0.106555372754587,1.17923144944061,0.776172529361768,0.908504284902949,0.536622014445492,0.761305614445635,0.46798495929608,0.964933037529499,0.809820841608553,0.6814147133644,0.743269151228263,0.891331412159633,0.437821794643931,0.690756329841075,"1",0.944703006185591
"Algeria","DZA","2004","Africa",0.888415474230893,-0.131200009260703,0.9719749922312,0.154686877778927,1.21672395032858,0.869250037932392,0.975390565919872,0.619100629556574,0.800534454743271,-0.0240004267458737,0.878167917056565,0.66350372363785,0.520390287471928,0.753575452840563,0.884277424405515,0.318014707040161,0.691253281982168,"0",0.905611150199547
"Algeria","DZA","2013","Africa",0.961226958258088,0.0101651972732125,0.935133786877498,0.257981354251818,1.35073974098636,1.04740185199545,1.11793779300801,0.757819714779384,0.8721792525041,-0.101806507370001,0.778776533617311,0.465295376635168,0.357514861142508,0.817731876844089,0.922833444213193,0.186289147641162,0.741143013809765,"0",0.948808118002489
"Algeria","DZA","2014","Africa",0.977218058397266,0.026513772422834,0.932782284612141,0.264697981178035,1.37254969937161,1.06793574859581,1.1369086728654,0.775515857001578,0.887498385874748,-0.148366465025986,0.760199545983874,0.458040328822437,0.349854088896395,0.828617790672906,0.936014370253832,0.183971152102563,0.756327225208847,"0",0.93631026474759
"American Samoa","ASM","1994","Oceania",-2.07224427748096,-2.38117240264844,-1.55867259331662,-1.9578311927665,-1.83424768139027,-1.90142429378889,-1.77876503772814,-1.8275546384012,-1.94792983663274,-0.826869791933753,-1.14054521995613,-1.33909715299616,-1.36044215659983,-1.86691956498764,-2.106611429154,-1.3599781277426,-2.07024114038316,"0",0.931772851152346
"American Samoa","ASM","1997","Oceania",-2.02044678481821,-2.38117240264844,-1.55867259331662,-1.9578311927665,-1.76523028930959,-1.8361935348082,-1.730746873927,-1.6543788232642,-1.94792983663274,-0.826869791933753,-1.14054521995613,-1.33909715299616,-1.36044215659983,-1.83252136292704,-2.06865976692785,-1.3599781277426,-2.04482517018259,"0",0.987267202697694
"Andorra","AND","2007","Europe",-1.87598041999883,-1.35592685075284,-2.14432141441434,-1.68672610698093,-1.60553735458649,-2.09396040731426,-1.90382457434137,-1.43620309859755,-1.28176947113547,-0.826869791933753,-1.14054521995613,-1.33909715299616,-1.86222907859162,-1.54298756019486,-2.00142402448656,-1.8511806368055,-2.02095053602073,"0",0.990525531349704
"Andorra","AND","2013","Europe",-1.80568369290186,-1.36710808449478,-2.39654663292444,-1.68672610698093,-1.52390710563715,-1.99844397953576,-1.84189787703526,-1.35833281189851,-1.19289182154099,-0.826869791933753,-1.14054521995613,-1.33909715299616,-1.86222907859162,-1.54722156593577,-1.94318177519912,-1.8511806368055,-2.04482517018259,"0",0.946780117927119
