"Country","Code","Year","Continent","High.systolic.blood.pressure","Alcohol.use","Low.birth.weight","Unsafe.sex","Low.physical.activity","High.fasting.plasma.glucose","High.body.mass.index","Drug.use","Low.bone.mineral.density","Vitamin.A.deficiency","Iron.deficiency","Breastfeeding","Child.growth","Tobacco","Dietary","Unsafe.water","Air.pollution","Death_Rate_Cat","rgroup"
"Afghanistan","AFG","1990","Asia",0.689722223418274,-0.430862274568671,1.12905630325719,-0.094127652823585,0.89062523247844,0.592814004446373,0.611327286277892,0.0823006797347775,0.387497396519321,1.82637733469697,1.43705579387119,1.23070337529934,1.32170284821968,0.426231177341959,0.801661202799245,0.997829427318583,1.01139393138275,"1",0.888362541561946
"Afghanistan","AFG","2001","Asia",0.765031336833001,-0.352100206377698,1.28632965019822,0.0439285928599678,0.958380053543457,0.780140733149752,0.587793224456297,0.351919451711592,0.437893757279307,2.06028618620003,1.63537339244622,1.43816139839371,1.46894138234361,0.530958762425948,0.906951208987888,1.24843038736669,1.11663482513303,"1",0.792979478370398
"Afghanistan","AFG","2005","Asia",0.760205674560886,-0.33367317077994,1.29054990869506,0.0746942074821618,0.970611821441517,0.81925656121911,0.636593847280398,0.425658895246998,0.455771192426017,1.65786668221222,1.67253131533884,1.38960029589544,1.40037875862242,0.537297196585404,0.900107089744998,1.24771824281361,1.10368891296076,"1",0.367372924694791
"Albania","ALB","1991","Europe",-0.0867935509378253,-0.489788156211221,-0.00044592824256604,-0.857444471001119,-0.492978028059319,-0.585769674840979,-0.256888377387039,-0.315196349007946,-0.531227971648325,-0.265688188267124,-0.485881675337598,0.369437794284137,0.346213606816724,0.00444855615013936,0.0676259483034363,-0.308007950964141,0.0237059638306181,"1",0.899096797220409
"Albania","ALB","1995","Europe",-0.122069188199962,-0.436618216286454,-0.0402398084506501,-0.873410849624215,-0.523867986297085,-0.590417512237428,-0.286987826746453,-0.24671334375614,-0.56894461897679,-0.443803753039333,-0.693667829095368,0.245385183316326,0.239314843017338,-0.0457660675886659,0.0229650088839839,-0.445676806839257,-0.0275389981194249,"1",0.287242055870593
"Algeria","DZA","2000","Africa",0.89146226884767,-0.201673256287847,0.98770764421979,0.111840885120109,1.18709038034724,0.791423278124404,0.919462782958045,0.555570916761521,0.769050563411732,0.3815690156725,0.9461197270417,0.781203578490926,0.649783126831206,0.744422009115483,0.891516051314013,0.416680667354919,0.692881723400423,"1",0.374525144696236
"Algeria","DZA","2002","Africa",0.891895807169561,-0.166110505353351,0.974983601839553,0.129169876810186,1.20325121329969,0.829077274339672,0.944876044377136,0.593337799084374,0.785996846646332,0.234699573868434,0.92385953512459,0.715287146256457,0.582696427708121,0.74761732933229,0.888965228044458,0.367090324031254,0.691040379277086,"1",0.11875001504086
"Algeria","DZA","2011","Africa",0.936456539779784,-0.0221116579467061,0.947969203066329,0.243255023242204,1.31477592899517,1.01259738390381,1.08409953584275,0.721704906612688,0.851158821665524,-0.101806507370001,0.813563988774145,0.492825080191445,0.379193422565185,0.79891632067004,0.90411087189558,0.200207082597061,0.715489447811026,"0",0.0187850522343069
"American Samoa","ASM","1995","Oceania",-2.05429197263623,-2.38117240264844,-1.55867259331662,-1.9578311927665,-1.76523028930959,-1.87587626974251,-1.76220037195046,-1.6543788232642,-1.94792983663274,-0.826869791933753,-1.14054521995613,-1.33909715299616,-1.36044215659983,-1.8580584653552,-2.08722294989058,-1.3599781277426,-2.07024114038316,"0",0.269674954935908
"American Samoa","ASM","1999","Oceania",-1.98902124766911,-2.38117240264844,-1.59701160677501,-1.9578311927665,-1.70544470490494,-1.80672298298836,-1.70129181190944,-1.6543788232642,-1.94792983663274,-0.826869791933753,-1.14054521995613,-1.33909715299616,-1.36044215659983,-1.8163025284383,-2.01728646219627,-1.3599781277426,-2.07024114038316,"0",0.0907765438314527
"American Samoa","ASM","2010","Oceania",-1.89393272484356,-2.38117240264844,-1.81089781182673,-1.9578311927665,-1.56286443185785,-1.6768200692581,-1.61083025514865,-1.6543788232642,-1.94792983663274,-0.826869791933753,-1.14054521995613,-1.33909715299616,-1.43001334969228,-1.75693268206595,-1.9297601326937,-1.42808182496505,-2.07024114038316,"0",0.538813762599602
"American Samoa","ASM","2012","Oceania",-1.8701555613375,-2.38117240264844,-1.81089781182673,-1.84531241592028,-1.56286443185785,-1.65572529035521,-1.58792380485041,-1.6543788232642,-1.94792983663274,-0.826869791933753,-1.14054521995613,-1.33909715299616,-1.43001334969228,-1.74328873908191,-1.90409573271122,-1.51588276137211,-2.09741128210405,"0",0.379965431289747
